实况日期,气温,相对湿度,未来雷暴,index,0
1985-06-12 18:00:00,21.4,0.7223642469603175,0.0,2115,1985-06-12 18:00:00
1985-06-13 00:00:00,20.4,0.6977270755676958,0.0,2116,1985-06-13 00:00:00
1985-06-17 12:00:00,25.2,0.672359831152211,1.0,2134,1985-06-17 12:00:00
1985-06-18 12:00:00,26.6,0.7496012373274797,1.0,2138,1985-06-18 12:00:00
1985-06-19 00:00:00,21.6,0.8730013538443988,1.0,2140,1985-06-19 00:00:00
1985-06-19 12:00:00,,,1.0,2142,1985-06-19 12:00:00
1985-06-19 18:00:00,19.8,0.8936128677217617,1.0,2143,1985-06-19 18:00:00
1985-06-20 06:00:00,28.0,0.610457147994171,1.0,2145,1985-06-20 06:00:00
1985-06-20 12:00:00,21.7,0.889518339922248,1.0,2146,1985-06-20 12:00:00
1985-06-27 18:00:00,23.4,0.7632149787183684,0.0,2175,1985-06-27 18:00:00
1985-07-01 18:00:00,24.0,0.67844423486026,1.0,2191,1985-07-01 18:00:00
1985-07-02 06:00:00,21.1,0.9637178786666304,1.0,2193,1985-07-02 06:00:00
1985-07-02 12:00:00,18.3,0.962951389627857,1.0,2194,1985-07-02 12:00:00
1985-07-03 18:00:00,21.7,0.9231884178311824,1.0,2199,1985-07-03 18:00:00
1985-07-04 00:00:00,21.7,0.9231884178311824,1.0,2200,1985-07-04 00:00:00
1985-07-04 06:00:00,27.8,0.6214744683800245,1.0,2201,1985-07-04 06:00:00
1985-07-05 06:00:00,29.3,0.5351993088636028,0.0,2205,1985-07-05 06:00:00
1985-07-06 12:00:00,29.6,0.7634442247987345,1.0,2210,1985-07-06 12:00:00
1985-07-08 06:00:00,31.9,0.5516844168264882,1.0,2217,1985-07-08 06:00:00
1985-07-08 12:00:00,29.7,0.677133473930012,1.0,2218,1985-07-08 12:00:00
1985-07-08 18:00:00,21.8,0.9758081340461934,1.0,2219,1985-07-08 18:00:00
1985-07-10 12:00:00,29.3,0.6929521031094372,1.0,2226,1985-07-10 12:00:00
1985-07-14 06:00:00,30.3,0.6269515764710526,1.0,2241,1985-07-14 06:00:00
1985-07-17 06:00:00,32.0,0.33130928313827596,1.0,2253,1985-07-17 06:00:00
1985-07-18 18:00:00,22.9,0.8528392852240559,1.0,2259,1985-07-18 18:00:00
1985-07-19 00:00:00,22.0,0.8519132650384107,1.0,2260,1985-07-19 00:00:00
1985-07-22 06:00:00,33.6,0.5591524261522057,1.0,2273,1985-07-22 06:00:00
1985-07-24 00:00:00,26.2,0.936754253649716,1.0,2280,1985-07-24 00:00:00
1985-07-24 06:00:00,24.1,0.8968337994844003,1.0,2281,1985-07-24 06:00:00
1985-07-25 18:00:00,24.2,0.935834899174225,1.0,2287,1985-07-25 18:00:00
1985-07-26 12:00:00,27.0,0.7734160218703962,1.0,2290,1985-07-26 12:00:00
1985-07-28 06:00:00,28.2,0.7521653848297966,1.0,2297,1985-07-28 06:00:00
1985-07-30 12:00:00,26.4,0.7915750260000698,1.0,2306,1985-07-30 12:00:00
1985-07-31 18:00:00,24.7,0.9417269152902102,1.0,2311,1985-07-31 18:00:00
1985-08-01 00:00:00,24.7,0.9417269152902102,1.0,2312,1985-08-01 00:00:00
1985-08-01 06:00:00,27.9,0.7984166449602315,1.0,2313,1985-08-01 06:00:00
1985-08-01 12:00:00,26.0,0.7910215631958271,1.0,2314,1985-08-01 12:00:00
1985-08-01 18:00:00,21.9,0.8678612675501057,1.0,2315,1985-08-01 18:00:00
1985-08-02 06:00:00,29.6,0.6607068234577678,1.0,2317,1985-08-02 06:00:00
1985-08-02 12:00:00,27.8,0.7839962876143002,1.0,2318,1985-08-02 12:00:00
1985-08-03 12:00:00,27.4,0.8025720068221568,1.0,2322,1985-08-03 12:00:00
1985-08-04 00:00:00,25.6,0.7904660018673261,0.0,2324,1985-08-04 00:00:00
1985-08-05 12:00:00,29.2,0.8641715931899195,1.0,2330,1985-08-05 12:00:00
1985-08-06 18:00:00,23.5,0.8482133100111733,0.0,2335,1985-08-06 18:00:00
1985-08-07 12:00:00,28.5,0.5966199398840089,0.0,2338,1985-08-07 12:00:00
1985-08-08 06:00:00,31.8,0.521802384362085,1.0,2341,1985-08-08 06:00:00
1985-08-09 12:00:00,28.4,0.7256816889435496,1.0,2346,1985-08-09 12:00:00
1985-08-09 18:00:00,26.0,0.9145181606289943,1.0,2347,1985-08-09 18:00:00
1985-08-11 06:00:00,30.7,0.6669375161306278,0.0,2353,1985-08-11 06:00:00
1985-08-11 12:00:00,22.0,39.49904134310107,1.0,2354,1985-08-11 12:00:00
1985-08-11 18:00:00,24.4,0.7839302614488197,0.0,2355,1985-08-11 18:00:00
1985-08-12 00:00:00,24.4,0.769518191400866,1.0,2356,1985-08-12 00:00:00
1985-08-13 06:00:00,29.6,0.6292650102313282,1.0,2361,1985-08-13 06:00:00
1985-08-13 12:00:00,27.0,0.6676522622132618,1.0,2362,1985-08-13 12:00:00
1985-08-15 06:00:00,27.8,0.7379774369398043,1.0,2369,1985-08-15 06:00:00
1985-08-16 06:00:00,28.7,0.7306008629386622,0.0,2373,1985-08-16 06:00:00
1985-08-17 06:00:00,25.7,0.8926063448291777,1.0,2377,1985-08-17 06:00:00
1985-08-17 12:00:00,24.8,0.8811650220617858,1.0,2378,1985-08-17 12:00:00
1985-08-18 06:00:00,27.4,0.7064576852452507,0.0,2381,1985-08-18 06:00:00
1985-08-19 06:00:00,30.1,0.5506877559121472,1.0,2385,1985-08-19 06:00:00
1985-08-20 06:00:00,26.2,0.762842792302725,1.0,2389,1985-08-20 06:00:00
1985-08-22 12:00:00,23.0,0.9295759127930524,0.0,2398,1985-08-22 12:00:00
1985-08-23 06:00:00,24.6,0.8441889221759314,0.0,2401,1985-08-23 06:00:00
1985-08-24 12:00:00,24.8,0.9417691349616808,1.0,2406,1985-08-24 12:00:00
1985-08-24 18:00:00,24.1,0.9821162315173598,1.0,2407,1985-08-24 18:00:00
1985-08-25 00:00:00,23.4,0.9760940424205389,0.0,2408,1985-08-25 00:00:00
1985-08-31 06:00:00,29.5,0.38224834606549235,0.0,2433,1985-08-31 06:00:00
1985-09-09 18:00:00,17.8,0.8977800426191246,0.0,2471,1985-09-09 18:00:00
1985-09-10 12:00:00,17.6,0.7688239922352665,0.0,2474,1985-09-10 12:00:00
1985-09-11 12:00:00,22.0,0.40847950334215527,0.0,2478,1985-09-11 12:00:00
1985-09-19 00:00:00,16.6,0.9026780655346521,0.0,2508,1985-09-19 00:00:00
1985-09-19 06:00:00,25.7,0.45027028433462213,1.0,2509,1985-09-19 06:00:00
1985-09-19 12:00:00,21.3,0.5720392530800311,1.0,2510,1985-09-19 12:00:00
1985-09-20 00:00:00,16.9,0.7932365175552792,0.0,2512,1985-09-20 00:00:00
1985-09-20 18:00:00,13.1,0.6973578363823385,0.0,2515,1985-09-20 18:00:00
1985-09-21 00:00:00,15.1,0.6125413702992167,0.0,2516,1985-09-21 00:00:00
1985-09-22 12:00:00,,,0.0,2522,1985-09-22 12:00:00
1985-09-22 18:00:00,14.4,0.758666335390694,0.0,2523,1985-09-22 18:00:00
1985-09-25 12:00:00,16.9,0.6420741476646884,0.0,2534,1985-09-25 12:00:00
1985-09-27 06:00:00,19.4,0.7328393003437277,1.0,2541,1985-09-27 06:00:00
1985-09-28 06:00:00,19.5,0.2817598798690394,0.0,2545,1985-09-28 06:00:00
1985-10-05 12:00:00,19.1,0.6817307452835046,0.0,2574,1985-10-05 12:00:00
1985-10-09 06:00:00,23.4,0.4293629268858797,0.0,2589,1985-10-09 06:00:00
1985-10-14 06:00:00,21.7,0.30902532750142464,0.0,2609,1985-10-14 06:00:00
1985-10-16 06:00:00,13.3,0.2849657512860173,0.0,2617,1985-10-16 06:00:00
1985-10-19 06:00:00,14.9,0.30501568309924865,0.0,2629,1985-10-19 06:00:00
1985-10-20 06:00:00,15.7,0.4594650406711323,0.0,2633,1985-10-20 06:00:00
1985-10-25 18:00:00,10.9,0.886459740763956,0.0,2655,1985-10-25 18:00:00
