单位ID,实况日期,总云量,中云量,低云量,风向,风速,温度,湿度,能见度,本站气压,天气现象,850hpa温度,500hpa涡度,700hpa涡度,850hpa涡度,700hpa湿度,850hpa湿度,2m温度,850W,700W,实况变化,t850变化,上一时次温度,时次,mon,alt,az,index,last_850hpa温度,last_500hpa涡度,last_700hpa涡度,last_850hpa涡度,last_700hpa湿度,last_850hpa湿度,last_2m温度,last_850W,last_700W,last_alt,last_az
964010001,2018-03-22 20:00:00,0,0,0,110,1,17.9,36.0,9000,940.20001,0,286.669824902,-7.8046875,-8.9912109375,4.3251953125,42.9966030212,47.7237304626,281.384147998,0.124464213562,0.220894136047,-4.899999,-1.38624853516,22.799999,20,3,-0.239709958434,4.83744287491,1411,288.056073437,-9.248046875,-3.76953125,0.1826171875,44.6323611832,27.8384444122,288.769241309,-0.0624730209351,0.0505367996216,0.472203582525,4.49434328079
964010001,2018-03-22 23:00:00,0,0,0,-1,0,12.3,55.0,9000,941.40002,0,284.30406416,-9.60546875,-8.9404296875,8.62109375,26.8668326904,68.3531213806,279.418427246,0.285182154846,0.175502384949,-5.6,-2.36576074219,17.9,23,3,-0.905967235565,5.35701560974,1412,286.669824902,-7.8046875,-8.9912109375,4.3251953125,42.9966030212,47.7237304626,281.384147998,0.124464213562,0.220894136047,-0.239709958434,4.83744287491
964010001,2018-03-23 02:00:00,0,0,0,-1,0,8.5,77.0,10000,941.90002,0,282.335218262,-2.208984375,-14.373046875,4.04296875,29.2190152069,80.2269934143,278.951489062,0.314344645691,0.360288383484,-3.8,-1.96884589844,12.3,2,3,-1.05966818333,0.57620215416,1413,284.30406416,-9.60546875,-8.9404296875,8.62109375,26.8668326904,68.3531213806,279.418427246,0.285182154846,0.175502384949,-0.905967235565,5.35701560974
964010001,2018-03-23 05:00:00,0,0,0,-1,0,6.8000002,82.0,10000,942.70001,0,281.651641211,0.171875,-11.0078125,-2.07421875,21.5766516937,86.6342328247,278.429949219,0.268587858582,0.333079252625,-1.6999998,-0.683577050781,8.5,5,3,-0.458757281303,1.32644629478,1414,282.335218262,-2.208984375,-14.373046875,4.04296875,29.2190152069,80.2269934143,278.951489062,0.314344645691,0.360288383484,-1.05966818333,0.57620215416
964010001,2018-03-23 08:00:00,5,0,0,245,1,7.4000001,74.0,10000,944.79999,0,282.946172266,-3.623046875,-11.03125,1.03125,26.5750951843,84.0071206543,278.637579443,0.15211729126,-0.0976910354614,0.5999999,1.29453105469,6.8000002,8,3,0.253393918276,1.66946566105,1415,281.651641211,0.171875,-11.0078125,-2.07421875,21.5766516937,86.6342328247,278.429949219,0.268587858582,0.333079252625,-0.458757281303,1.32644629478
964010001,2018-03-23 11:00:00,9,9,0,-1,0,15.2,49.0,10000,945.90002,0,285.353048633,-4.20703125,-5.85986328125,-0.72802734375,59.8163315216,55.3662502563,287.254631055,-0.0265580307007,-0.0443390060425,7.7999999,2.40687636719,7.4000001,11,3,0.927045106888,2.17941784859,1416,282.946172266,-3.623046875,-11.03125,1.03125,26.5750951843,84.0071206543,278.637579443,0.15211729126,-0.0976910354614,0.253393918276,1.66946566105
964010001,2018-03-23 14:00:00,8,8,0,8,1,21.5,37.0,10000,942.90002,0,287.060384131,-4.61328125,-0.6884765625,-2.4873046875,85.6417540527,48.5165666748,288.704290967,-0.0694172637939,-0.303223626709,6.3,1.70733549805,15.2,14,3,1.08698034286,3.75317263603,1417,285.353048633,-4.20703125,-5.85986328125,-0.72802734375,59.8163315216,55.3662502563,287.254631055,-0.0265580307007,-0.0443390060425,0.927045106888,2.17941784859
964010001,2018-03-23 17:00:00,9,0,0,-1,0,23.4,34.0,10000,940.79999,0,286.717690625,-6.423828125,2.1513671875,1.0419921875,89.3678517822,55.2667952454,287.416172412,0.0443620223999,-0.0897709655762,1.9,-0.342693505859,21.5,17,3,0.47417268157,4.50189685822,1418,287.060384131,-4.61328125,-0.6884765625,-2.4873046875,85.6417540527,48.5165666748,288.704290967,-0.0694172637939,-0.303223626709,1.08698034286,3.75317263603
964010001,2018-03-23 20:00:00,5,0,0,-1,0,16.6,68.0,10000,942.59998,0,286.020247559,-6.923828125,1.47265625,1.1025390625,70.6885583618,68.8137652832,281.86718291,0.228348937988,0.165242883301,-6.8,-0.697443066406,23.4,20,3,-0.237943351269,4.84442186356,1419,286.717690625,-6.423828125,2.1513671875,1.0419921875,89.3678517822,55.2667952454,287.416172412,0.0443620223999,-0.0897709655762,0.47417268157,4.50189685822
964010001,2018-03-23 23:00:00,3,0,0,-1,0,13.2,65.0,10000,945.40002,0,284.910033838,-6.0,-4.4248046875,-2.26171875,51.9362725952,76.0394661011,279.451812695,0.219267219543,-0.0236955490112,-3.4,-1.1102137207,16.6,23,3,-0.902180850506,5.36654806137,1420,286.020247559,-6.923828125,1.47265625,1.1025390625,70.6885583618,68.8137652832,281.86718291,0.228348937988,0.165242883301,-0.237943351269,4.84442186356
